PERM,A-06353-92851,Certified,H-1B,INDIA,16-12-2011,"1304 WEST WALNUT HILL LANE, SUITE 240",,IRVING,THE SHAMS GROUP,75038,TX,Irving,TX,541512,Computer Systems Design Services,41516,Operations Research Analysts,Level I,15-2031.00,Operations Research Analysts,OES,yr,IT,41516,,yr
PERM,A-07213-62416,Certified,H-1B,INDIA,29-12-2011,48 SUMMERS AVENUE,,WEST LONG BRANCH,BAMM INC,7764,NJ,West Long Branch,NJ,541511,Custom Computer Programming Services,47.69,Computer Systems Analysts,Level IV,15-1051.00,Computer Systems Analysts,OES,hr,IT,47.69,,hr
PERM,A-07237-69481,Certified,H-1B,INDIA,09-01-2012,24035 THREE NOTCH ROAD,,HOLLYWOOD,"SHAH ASSOCIATES, MD, LLC",20636,MD,Hollywood,MD,62111,Offices of Physicians,138362,"Internists, General",Level II,29-1063.00,"Internists, General",OES,yr,Health Care,140000,,yr
PERM,A-07311-93198,Certified,,INDIA,01-12-2011,3410 HILLVIEW AVENUE,,PALO ALTO,"SAP LABS, LLC",94304,CA,Newtown Square,PA,54151,Computer Systems Design and Related Services,90646,"Computer Software Engineers, Applications",Level IV,15-1031.00,"Computer Software Engineers, Applications",OES,yr,IT,93550,,yr
PERM,A-07333-99643,Certified,H-1B,INDIA,01-12-2011,1054 TECHNOLOGY PARK DRIVE,,GLEN ALLEN,"SCHNABEL ENGINEERING, INC.",23059,VA,Lutherville,MD,541330,Engineering Services,47923,Civil Engineer,Level I,17-2051.00,Civil Engineers,OES,yr,Aerospace,47923,,yr
PERM,A-08057-27232,Withdrawn,H-1B,INDIA,05-03-2012,4833 RUGBY AVE.,SUITE 500,BETHESDA,"AQUAS, INC.",20814,MD,Bethesda,MD,541511,Custom Computer Programming Services,59758,Computer Programmer,Level II,15-1021.00,Computer Programmers,OES,yr,IT,60000,,yr
PERM,A-08085-36053,Certified,H-1B,INDIA,09-12-2011,301 PERIMETER CENTER NORTH,SUITE 200,ATLANTA,"INTEC BILLING, INC",30346,GA,Atlanta,GA,541511,Custom Computer Programming Services,74672,Network Systems & Data Communications Analyst,Level IV,15-1081.00,Network Systems and Data Communications Analysts,OES,yr,IT,80000,,yr
PERM,A-08127-49255,Certified,H-1B,INDIA,05-12-2011,103 MORGAN LANE,SUITE 102,PLAINSBORO,"COMPUNNEL SOFTWARE GROUP, INC.",8536,NJ,MONMOUTH JN.,NJ,541511,Custom Computer Programming Services,28.05,SYSTEMS ANALYST,Level I,15-1051.00,Computer Systems Analysts,OES,hr,IT,28.05,,hr
PERM,A-08211-74089,Certified,H-1B,INDIA,07-02-2012,55 EAST 52ND ST.,27TH FLOOR,NEW YORK,"MCKINSEY & COMPANY, INC UNITED STATES",10022,NY,Atlanta,GA,54161,Management Consulting Services,38646,Operations Research Analyst,Level I,15-2031.00,Operations Research Analysts,OES,yr,Other Economic Sector,130000,,yr
PERM,A-08212-74295,Denied,,INDIA,15-11-2011,1430 YANKEE PARK PLACE,,DAYTON,"INDUS VALLEY CONSULTANTS, INC",45458,OH,Dayton,OH,541511,Custom Computer Programming Services,77272,Software Engineer,Level III,15-1031.00,"Computer Software Engineers, Applications",OES,yr,IT,77272,,yr
PERM,A-08238-81533,Certified-Expired,H-1B,INDIA,13-10-2011,ONE AT&T PLAZA,208 S. AKARD STREET,DALLAS,"AT&T, INC., AND ALL OF ITS SUBSIDIARIES AND AFFILIATES",75202,TX,Florham Park,NJ,51721,Wireless Telecommunications Carriers (except Satellite),63773,Operations Research Analysts,Level I,15-2031.00,Operations Research Analysts,OES,yr,IT,110000,,yr
PERM,A-08270-91040,Certified,H-1B,INDIA,19-12-2011,929 NORTH FRONT STREET,,WILMINGTON,"PPD DEVELOPMENT, LP",28401,NC,Austin,TX,541710,,93662,Computer Systems Analysts,Level IV,15-1051.00,Computer Systems Analysts,OES,yr,,93662,,yr
PERM,A-08280-93404,Certified-Expired,H-1B,INDIA,25-10-2011,3901 CASTLE HAYNE ROAD,,WILMINGTON,"GE-HITACHI NUCLEAR ENERGY AMERICAS, LLC",28402,NC,Wilmington,NC,541690,Other Scientific and Technical Consulting Services,119954,Computer and Information Systems Manager,Level IV,11-3021.00,Computer and Information Systems Managers,OES,yr,Other Economic Sector,119954,180000,yr
PERM,A-08291-96847,Certified,L-1,INDIA,17-11-2011,19483 PRUNERIDGE AVENUE,M/S 4206,CUPERTINO,HEWLETT-PACKARD COMPANY,95014,CA,Houston,TX,334111,Electronic Computer Manufacturing,96512,"Computer Software Engineers, Applications",Level IV,15-1031.00,"Computer Software Engineers, Applications",OES,yr,Advanced Mfg,96512,,yr
PERM,A-08301-99632,Denied,H-1B,INDIA,09-12-2011,ONE HSBC CENTER,,BUFFALO,"HSBC BANK USA, N.A.",14203,NY,Mettawa,IL,522110,Commercial Banking,50669,Credit Analysts,Level II,13-2041.00,Credit Analysts,OES,yr,Finance,103000,,yr
PERM,A-08318-05127,Certified-Expired,H-1B,INDIA,07-10-2011,2 FOLSOM STREET,,SAN FRANCISCO,GAP INC.,94105,CA,San Bruno,CA,315,Apparel Manufacturing,101254,"Computer SW Engineers, Applications",Level III,15-1031.00,"Computer Software Engineers, Applications",OES,yr,Advanced Mfg,101254,,yr
PERM,A-08319-05713,Denied,H-1B,INDIA,17-10-2011,19483 PRUNERIDGE AVENUE,M/S 4206,CUPERTINO,HEWLETT-PACKARD COMPANY,95014,CA,Houston,TX,334111,Electronic Computer Manufacturing,39874,Auditors,Level I,13-2011.02,Auditors,OES,yr,Advanced Mfg,60120,,yr
PERM,A-08322-06232,Denied,B-1,INDIA,16-02-2012,827 CHERRY AVENUE,,CHARLOTTESVILLE,DHARMA ENTERPRISE INC.,22903,VA,CHARLOTTESVILLE,VA,452990,All Other General Merchandise Stores,44845,STORE MANAGER,Level IV,41-1011.00,First-Line Supervisors/Managers of Retail Sales Workers,OES,yr,Retail,44845,,yr
PERM,A-08325-07733,Certified-Expired,H-1B,INDIA,07-10-2011,6363 SOUTH FIDDLER'S GREEN CIRCLE,SUITE 1400,GREENWOOD VILLAGE,"CIBER, INC.",80111,CO,Greenwood Village,CO,541512,Computer Systems Design Services,34.92,Lotus Notes Web Developer (Systems Analyst),Level III,15-1051.00,Computer Systems Analysts,OES,hr,IT,34.92,50.48,hr
PERM,A-08331-09735,Denied,H-1B,INDIA,06-12-2011,27700 HILLIARD BLVD,,WESTLAKE,"CITY OFWESTLAKE, OHIO",44145,OH,Westlake,OH,921110,Executive Offices,68744,"Software Engineer, Systems Software",Level II,15-1031.00,"Computer Software Engineers, Applications",OES,yr,Other Economic Sector,68744,,yr
PERM,A-08347-13759,Certified,H-1B,INDIA,18-11-2011,1251 AVENUE OF THE AMERICAS,52ND FLOOR,NEW YORK,"MOORE CAPITAL MANAGEMENT, LP",10020,NY,New York,NY,523110,Investment Banking and Securities Dealing,136989,Financial Analysts,Level IV,13-2051.00,Financial Analysts,OES,yr,Finance,160000,,yr
PERM,A-08351-14351,Withdrawn,H-1B,INDIA,22-11-2011,ONE HSBC CENTER,,BUFFALO,"HSBC BANK USA, N.A.",14203,NY,Salinas,CA,522110,Commercial Banking,34.09,Financial Analysts,Level II,13-2051.00,Financial Analysts,OES,hr,Finance,80101,,yr
PERM,A-08366-17436,Denied,H-1B,INDIA,27-10-2011,545 E JOHN CARPENTER FWY,STE 1600,IRVING,"USMLEWORLD, LLC",75062,TX,Towson,MD,541511,Custom Computer Programming Services,96117,Software Engineer,Level III,15-1031.00,"Computer Software Engineers, Applications",OES,yr,IT,96117,96117,yr
